#class tools::histo::h1d
#title Layer total energy
#dimension 1
#axis fixed 5 0.5 5.5
#annotation axis_x.title 
#bin_number 7
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
1000,2822.65,127061,2822.65,2822.65
1000,2945.3,98679.7,5890.6,11781.2
1000,3093.51,104631,9280.54,27841.6
1000,2839.33,104088,11357.3,45429.2
1000,3667.82,196142,18339.1,91695.6
0,0,0,0,0
