#class tools::histo::h1d
#title Layer total energy
#dimension 1
#axis fixed 5 0.5 5.5
#annotation axis_x.title 
#bin_number 7
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
1000,3957.98,713392,3957.98,3957.98
1000,11349.1,1.85097e+06,22698.3,45396.6
1000,13142,2.06842e+06,39426.1,118278
1000,11411.5,1.88336e+06,45646.1,182584
1000,6048.94,1.22114e+06,30244.7,151224
0,0,0,0,0
