#class tools::histo::h1d
#title Layer total energy
#dimension 1
#axis fixed 5 0.5 5.5
#annotation axis_x.title 
#bin_number 7
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
1000,3902.09,760735,3902.09,3902.09
1000,11873.5,2.01047e+06,23747,47494
1000,11963,1.76961e+06,35889,107667
1000,8094.03,1.25631e+06,32376.1,129504
1000,6341.22,1.29923e+06,31706.1,158530
0,0,0,0,0
